time,open,high,low,close,tick_volume,spread,real_volume
2025-08-04 20:36:00,1.15726,1.15736,1.15726,1.15735,14,9,0
2025-08-04 20:37:00,1.15735,1.15735,1.15724,1.15725,14,9,0
2025-08-04 20:38:00,1.15725,1.15728,1.15723,1.15726,17,9,0
2025-08-04 20:39:00,1.15726,1.15728,1.15725,1.15726,7,9,0
2025-08-04 20:40:00,1.15726,1.15729,1.15726,1.15729,5,9,0
2025-08-04 20:41:00,1.15728,1.15735,1.15727,1.15734,12,9,0
2025-08-04 20:42:00,1.15733,1.15735,1.15727,1.1573,15,9,0
2025-08-04 20:43:00,1.1573,1.1573,1.15721,1.15727,18,9,0
2025-08-04 20:44:00,1.15728,1.15734,1.1571,1.15719,39,9,0
2025-08-04 20:45:00,1.1571799999999999,1.15721,1.15712,1.15713,23,9,0
2025-08-04 20:46:00,1.15714,1.15719,1.15714,1.15719,21,9,0
2025-08-04 20:47:00,1.1571799999999999,1.1573,1.1571799999999999,1.15729,15,9,0
2025-08-04 20:48:00,1.15727,1.15727,1.15716,1.1571799999999999,20,9,0
2025-08-04 20:49:00,1.1571799999999999,1.15723,1.1571799999999999,1.15722,17,9,0
2025-08-04 20:50:00,1.15722,1.1573,1.15722,1.15728,14,9,0
2025-08-04 20:51:00,1.15728,1.15744,1.15726,1.15744,30,9,0
2025-08-04 20:52:00,1.15744,1.15744,1.15743,1.15743,2,9,0
2025-08-04 20:53:00,1.15743,1.15749,1.15739,1.15743,17,9,0
2025-08-04 20:54:00,1.15743,1.15751,1.15743,1.15749,10,9,0
2025-08-04 20:55:00,1.15749,1.15751,1.15746,1.15746,14,9,0
2025-08-04 20:56:00,1.15745,1.15745,1.15722,1.15724,18,9,0
2025-08-04 20:57:00,1.15723,1.15729,1.15717,1.15728,13,9,0
2025-08-04 20:58:00,1.15729,1.15729,1.15711,1.1572,27,9,0
2025-08-04 20:59:00,1.15712,1.1572,1.15694,1.15713,17,9,0
2025-08-04 21:00:00,1.15716,1.15716,1.15716,1.15716,1,22,0
2025-08-04 21:01:00,1.15717,1.15717,1.15702,1.15702,2,22,0
2025-08-04 21:02:00,1.15707,1.1572,1.15701,1.15701,11,22,0
2025-08-04 21:03:00,1.15717,1.15717,1.157,1.15714,4,22,0
2025-08-04 21:04:00,1.15714,1.15722,1.15714,1.15716,12,9,0
2025-08-04 21:05:00,1.15703,1.15719,1.15703,1.15716,7,22,0
2025-08-04 21:06:00,1.1571500000000001,1.1571500000000001,1.15699,1.15699,10,22,0
2025-08-04 21:07:00,1.15699,1.157,1.15696,1.157,7,54,0
2025-08-04 21:08:00,1.15699,1.15699,1.1569099999999999,1.1569099999999999,10,53,0
2025-08-04 21:09:00,1.15693,1.15696,1.15693,1.15694,6,53,0
2025-08-04 21:10:00,1.15695,1.15701,1.15695,1.15699,10,53,0
2025-08-04 21:11:00,1.15694,1.15697,1.1569099999999999,1.1569099999999999,8,53,0
2025-08-04 21:12:00,1.15692,1.15699,1.15692,1.15696,22,53,0
2025-08-04 21:13:00,1.15696,1.15696,1.1569099999999999,1.1569099999999999,12,53,0
2025-08-04 21:14:00,1.15694,1.157,1.15694,1.15698,6,53,0
2025-08-04 21:15:00,1.15698,1.15699,1.15692,1.15696,11,53,0
2025-08-04 21:16:00,1.15693,1.15698,1.15693,1.15695,7,53,0
2025-08-04 21:17:00,1.15694,1.15696,1.15693,1.15696,10,53,0
2025-08-04 21:18:00,1.15698,1.15705,1.15698,1.15705,4,53,0
2025-08-04 21:19:00,1.15702,1.15703,1.15701,1.15702,6,53,0
2025-08-04 21:20:00,1.15702,1.15704,1.15701,1.15704,6,53,0
2025-08-04 21:21:00,1.15702,1.15703,1.15699,1.157,10,53,0
2025-08-04 21:22:00,1.15702,1.15704,1.157,1.15701,8,53,0
2025-08-04 21:23:00,1.15702,1.15703,1.15699,1.15701,8,53,0
2025-08-04 21:24:00,1.15699,1.15702,1.15699,1.15702,2,53,0
2025-08-04 21:25:00,1.15704,1.15704,1.15702,1.15702,2,53,0
2025-08-04 21:26:00,1.15702,1.15704,1.15702,1.15703,5,53,0
2025-08-04 21:27:00,1.15703,1.15704,1.1569099999999999,1.15693,12,53,0
2025-08-04 21:28:00,1.15693,1.15693,1.15687,1.1569,13,53,0
2025-08-04 21:29:00,1.15689,1.15689,1.1568,1.1568,12,54,0
2025-08-04 21:30:00,1.15678,1.15688,1.15678,1.15679,18,58,0
2025-08-04 21:31:00,1.15682,1.15689,1.15678,1.15686,22,53,0
2025-08-04 21:32:00,1.15686,1.15688,1.15685,1.15688,15,53,0
2025-08-04 21:33:00,1.15687,1.15692,1.15686,1.15688,19,53,0
